date,instrument,weight
2021-12-31,cl1s,0.6370571545640342
2021-12-31,rb1s,0.6637101016440953
2022-01-03,cl1s,0.6460044175882934
2022-01-03,rb1s,0.6718757542253593
2022-01-04,cl1s,0.6550101570237694
2022-01-04,rb1s,0.682272746175226
2022-01-05,cl1s,0.6644807170281865
2022-01-05,rb1s,0.6932771589275026
2022-01-06,cl1s,0.669444162901418
2022-01-06,rb1s,0.7047340666601251
2022-01-07,cl1s,0.6789570853178353
2022-01-07,rb1s,0.7161054451945454
2022-01-10,cl1s,0.6881118022726138
2022-01-10,rb1s,0.7246741673974474
2022-01-11,cl1s,0.0
2022-01-11,rb1s,0.0
2022-01-12,cl1s,0.0
2022-01-12,rb1s,0.0
2022-01-13,cl1s,0.0
2022-01-13,ng1s,-0.2980291388167008
2022-01-13,rb1s,0.0
2022-01-14,cl1s,0.0
2022-01-14,ng1s,-0.30301828072739484
2022-01-14,rb1s,-0.0
2022-01-18,cl1s,0.0
2022-01-18,ng1s,-0.3080913916834041
2022-01-18,rb1s,-0.7525627463314918
2022-01-19,cl1s,0.0
2022-01-19,rb1s,0.0
2022-01-20,cl1s,0.0
2022-01-20,rb1s,0.0
2022-01-21,cl1s,0.0
2022-01-21,rb1s,-0.7858536270227808
2022-01-24,cl1s,0.7332150003377617
2022-01-24,rb1s,0.0
2022-01-25,cl1s,0.7315867778855618
2022-01-25,ng1s,-0.3158040879340392
2022-01-25,rb1s,0.7839666902668254
2022-01-26,cl1s,0.7374308970984564
2022-01-26,ng1s,-0.3186291645072951
2022-01-26,rb1s,0.7840100944062262
2022-01-27,cl1s,0.7456657262240222
2022-01-27,ng1s,-0.31713797949196854
2022-01-27,rb1s,0.796472122131221
2022-01-28,cl1s,0.7581256184964078
2022-01-28,ng1s,-0.3107067077193595
2022-01-28,rb1s,0.8096093016071221
2022-01-31,cl1s,0.7674788421598555
2022-01-31,ng1s,-0.3123407683460493
2022-01-31,rb1s,0.8230065655748316
2022-02-01,cl1s,0.779962474069822
2022-02-01,ng1s,-0.31556537475002244
2022-02-01,rb1s,0.8362632596120324
2022-02-02,cl1s,0.7926877908516103
2022-02-02,ng1s,-0.28398288081164913
2022-02-02,rb1s,0.8479211899151354
2022-02-03,ng1s,-0.26946460186736193
2022-02-03,rb1s,0.0
2022-02-04,ng1s,-0.267900936247427
2022-02-04,rb1s,0.0
2022-02-07,rb1s,0.8847757123231669
2022-02-08,ng1s,-0.2696383181444484
2022-02-08,rb1s,-0.8691975620863369
2022-02-09,ng1s,-0.27006502364610036
2022-02-09,rb1s,0.8819822831982221
2022-02-10,cl1s,0.823690715214281
2022-02-10,ng1s,-0.2743934472543479
2022-02-10,rb1s,0.8968041254936232
2022-02-11,ng1s,-0.27897589384739246
2022-02-11,rb1s,0.8888593136955681
2022-02-14,ng1s,-0.0
2022-02-14,rb1s,-0.8996221896969446
2022-02-15,cl1s,0.0
2022-02-15,ng1s,-0.2821695669841948
2022-02-15,rb1s,0.8351744613652039
2022-02-16,cl1s,0.0
2022-02-16,ng1s,-0.27574361571539147
2022-02-16,rb1s,0.8491829107292059
2022-02-17,cl1s,0.0
2022-02-17,ng1s,-0.2765393824108501
2022-02-17,rb1s,0.8555985025933087
2022-02-18,cl1s,0.0
2022-02-18,ng1s,-0.2808450769920793
2022-02-18,rb1s,0.8697755024285749
2022-02-22,cl1s,0.0
2022-02-22,ng1s,-0.2852381383400618
2022-02-22,rb1s,0.8789645829926884
2022-02-23,cl1s,0.0
2022-02-23,ng1s,-0.28911404596507184
2022-02-23,rb1s,0.0
2022-02-24,cl1s,0.0
