ticker,group,n_features,rows_with_no_nan_in_group,total_rows,pct_complete,mean_pct_nan_per_feature
cl1s,A_returns_momentum,9,628,628,100.0,0.0
cl1s,B_volatility,8,628,628,100.0,0.0
cl1s,C_microstructure,5,608,628,96.81528662420382,1.3057324840764333
cl1s,D_meanrev_trend,8,628,628,100.0,0.0
cl1s,E_latent_regime,5,628,628,100.0,0.0
cl1s,F_spectral_fractal,5,628,628,100.0,0.0
cl1s,G_cross_sectional,6,0,628,0.0,16.666666666666664
cl1s,H_signal_interaction,5,609,628,96.97452229299363,0.605095541401274
cl1s,I_seasonality,6,628,628,100.0,0.0
cl1s,J_higher_moments_range,8,628,628,100.0,0.0
ho1s,A_returns_momentum,9,628,628,100.0,0.0
ho1s,B_volatility,8,628,628,100.0,0.0
ho1s,C_microstructure,5,628,628,100.0,0.0
ho1s,D_meanrev_trend,8,628,628,100.0,0.0
ho1s,E_latent_regime,5,628,628,100.0,0.0
ho1s,F_spectral_fractal,5,628,628,100.0,0.0
ho1s,G_cross_sectional,6,628,628,100.0,0.0
ho1s,H_signal_interaction,5,609,628,96.97452229299363,0.605095541401274
ho1s,I_seasonality,6,628,628,100.0,0.0
ho1s,J_higher_moments_range,8,627,628,99.8407643312102,0.019904458598726117
rb1s,A_returns_momentum,9,628,628,100.0,0.0
rb1s,B_volatility,8,628,628,100.0,0.0
rb1s,C_microstructure,5,628,628,100.0,0.0
rb1s,D_meanrev_trend,8,628,628,100.0,0.0
rb1s,E_latent_regime,5,628,628,100.0,0.0
rb1s,F_spectral_fractal,5,628,628,100.0,0.0
rb1s,G_cross_sectional,6,628,628,100.0,0.0
rb1s,H_signal_interaction,5,609,628,96.97452229299363,0.605095541401274
rb1s,I_seasonality,6,628,628,100.0,0.0
rb1s,J_higher_moments_range,8,628,628,100.0,0.0
ng1s,A_returns_momentum,9,628,628,100.0,0.0
ng1s,B_volatility,8,628,628,100.0,0.0
ng1s,C_microstructure,5,628,628,100.0,0.0
ng1s,D_meanrev_trend,8,628,628,100.0,0.0
ng1s,E_latent_regime,5,628,628,100.0,0.0
ng1s,F_spectral_fractal,5,628,628,100.0,0.0
ng1s,G_cross_sectional,6,628,628,100.0,0.0
ng1s,H_signal_interaction,5,609,628,96.97452229299363,0.605095541401274
ng1s,I_seasonality,6,628,628,100.0,0.0
ng1s,J_higher_moments_range,8,628,628,100.0,0.0
