,mda_mean,mda_std
Relative strength,0.030695216754384767,0.011399788645667453
Volatility,0.02818511519194703,0.013393134402372222
Metals/Commodities,0.017662893704305134,0.0175613915131341
Energy spreads,0.014850751685346905,0.008036237001541236
Distribution/Complexity,0.009999462913263684,0.007961081297780042
Macro environment,0.005546441229950419,0.011732842688670767
Seasonality,0.0028911180181720566,0.0049573451098933454
Cross-asset correlation,0.0022907506762082992,0.015012436919735306
Momentum/Trend,0.00010657016626453457,0.011584885271153604
Other,0.0,0.0
Regimes (HMM),-2.9348424650788495e-06,0.0017699127061425303
Volume & Liquidity,-0.0006004347301387279,0.007816404165586948
Signal interaction,-0.0007063736064201809,0.0011258874864921524
Signal & Instrument,-0.0014541108728271259,0.004150016954487173
Returns/Price,-0.0023931928561228854,0.0054958928931796705
