,mda
realized_vol_60d,0.01667088077015107
sector_momentum_dispersion_60d,0.01616075538923331
oil_gas_ratio_zscore_252d,0.012905503970575275
spectral_entropy,0.01110109532874845
relative_vol_60d,0.009226984957662896
asset_gold_corr_60d,0.008916523927475462
macd_hist,0.007737902560827599
copper_gold_ratio_chg_20d,0.006761038591339348
dxy_ret_5d,0.005143567728162239
sector_momentum_dispersion_20d,0.004118398168490313
asset_copper_corr_60d,0.004105579965977306
autocorr_return_20d,0.003974949277556647
us10y_change_5d,0.003502297727247117
vol_ratio_20_60,0.0025504467689142123
crack_321_zscore_252d,0.0018298977866147755
crack_321,0.0017132935124789125
hl_spread,0.0017122018696440165
copper_zscore_20d,0.0016988452416446843
sector_vol_dispersion_20d,0.0015056999802962245
copper_trend_t_value,0.0013095563748003712
volume_std_20d,0.0012577354078096726
autocorr_abs_return_60d,0.0012470865232054827
bb_width,0.0011958772610242985
relative_momentum_20d,0.0011327022139241063
oil_gas_ratio,0.001105251569339438
atx_14,0.0010952319898898779
log_oi_change,0.0010709481967078772
relative_vol_20d,0.0010511131736884805
distance_from_200d_ma,0.0010420786620967347
copper_gold_ratio_zscore_252d,0.0010222507673038673
realized_vol_5d,0.0010107669587285973
equity_avg_vol_20d,0.0010003096885164587
dxy_corr_60d,0.0008213838014880781
risk_on_score,0.0008113818435103148
day_of_year_cos,0.0007719141701544619
quarter_progress,0.0007219734638362141
approx_entropy_20d,0.0007146183608497082
copper_lead_5d,0.0006946207302170126
yang_zhang_vol,0.0006866133890166948
hurricane_season_indicator,0.0006504067983674778
equity_vol_zscore_252d,0.0006166191386185616
vol_parkinson_20d,0.0005913839543320565
abs_log_return,0.0005713761761713276
garman_klass_vol,0.0005219556552231274
signal_persistence,0.00046488074792897064
gold_silver_ratio,0.0004384099958405518
obv,0.0003945500469819363
hmm_prob_state_0,0.0003582462462489788
copper_mom_20d,0.00033339263470546067
positive_return_ratio_20d,0.0003203031294146896
ret_20d_zscore,0.000290565681200603
volume_mean_20d,0.0002529923156303648
momentum_60d,0.0002444283025243
dollar_volume_log,0.00022488036311651077
driving_season_progress,0.00021273449822605708
vol_oi_ratio,0.00018999442991064265
sadf,0.00017986073362574745
close_fracdiff,0.00017238000513284163
roll_spread_20d,0.00011258912640703664
dfa_alpha_90d,0.00010567210671522886
hurst_90d,7.546413371052546e-05
dominant_cycle_period,5.298565429664669e-05
close_position,3.8466274234560937e-05
lz_complexity_20d,2.5155765390501018e-05
oc_spread,1.8782209506000856e-05
vol_rogers_satchell_20d,1.7571975242083194e-05
copper_gold_ratio,7.343807967015191e-06
positive_return_ratio_10d,1.6133439861376606e-06
signal_changed,0.0
instrument_cl1s,0.0
instrument_ho1s,0.0
instrument_ng1s,0.0
instrument_rb1s,0.0
positive_return,0.0
hmm_regime,-1.50598359553622e-05
autocorr_return_60d,-1.807873253131927e-05
lz_complexity_60d,-3.7564675158345824e-05
stoch_k,-5.0284695294966494e-05
rsi_14d,-5.710749202791458e-05
ewma_vol_10d,-6.824495359097236e-05
price_zscore_60d,-7.168421818229076e-05
momentum_rank_20d,-7.754016639925477e-05
volume_std_5d,-0.00010022427116716862
momentum_rank_60d,-0.00010471836163204574
downside_vol_20d,-0.0001102620068684379
volume_zscore_20d,-0.00014208567814588457
day_of_year_sin,-0.00015046288317197785
mean_return_60d,-0.00016417247455753793
log_return,-0.0001677181244025206
log_volume_change,-0.00016853214655311756
mean_return_5d,-0.00019110293334246187
return_vol_correl_60d,-0.00020856363701989177
vix_change_5d,-0.0002180130514690082
volume_mean_5d,-0.00023495792469643506
bb_position,-0.00023998113580338878
ewma_vol_20d,-0.00025990632134332387
cross_asset_momentum_concordance,-0.00026176240903008185
hmm_prob_state_2,-0.00026551957683415903
price_zscore_20d,-0.000270583631549921
realized_vol_20d,-0.00027085506286425473
dxy_ret_20d,-0.00032473457513345846
corr_basket_60d,-0.0003317685046245921
mean_return_20d,-0.0003617822484537747
autocorr_abs_return_20d,-0.0003864087670935113
momentum_10d,-0.00038643709226104055
skew_20d,-0.0003949455354153963
macd,-0.00040392798994119087
skew_60d,-0.000430724387950514
stoch_d,-0.00044691603627109225
primary_signal,-0.000476462309425758
equity_avg_ret_5d,-0.000600557587157524
price_range_position_60d,-0.0006073938216762742
atr_14,-0.0006222138427363722
vix_level,-0.0006539953344999172
heating_season,-0.0006683773003204262
crack_321_change_5d,-0.0006752185545478318
momentum_5d,-0.0006775710488355213
kurt_20d,-0.0006988777858917118
mfi_14,-0.0008706799983832015
oi_momentum_5d,-0.000884218489402544
shannon_entropy_hist_60d,-0.0008857797810228638
macd_signal,-0.0012251480806393243
beta_basket_60d,-0.0013765394927568787
shannon_entropy_hist_20d,-0.001560785987525084
momentum_20d,-0.0016819723721242963
oi_momentum_20d,-0.00192276751685271
range_position_5d_chg,-0.0019249163958923177
hmm_prob_state_1,-0.00236762899528151
willr_14,-0.0031286373436668624
